temperature_liquid,co2,ph,fermentation_stage
24.82,817,6.37,BELUM_FERMENTASI
27.01,2595,4.21,FERMENTASI_LANJUT
27.62,2393,3.54,MATANG
31.2,1047,4.02,FERMENTASI_AKTIF
27.77,1029,4.04,FERMENTASI_AKTIF
28.64,1258,5.67,FERMENTASI_AWAL
29.54,1101,5.54,FERMENTASI_AWAL
25.73,1427,5.2,FERMENTASI_AWAL
31.44,1329,5.01,FERMENTASI_AKTIF
25.66,1795,4.97,FERMENTASI_AKTIF
26.59,2031,5.06,FERMENTASI_AKTIF
29.14,1609,5.37,FERMENTASI_AKTIF
29.69,1187,4.97,FERMENTASI_AKTIF
26.38,643,5.99,BELUM_FERMENTASI
30.68,1725,4.17,FERMENTASI_LANJUT
27.81,2185,4.67,FERMENTASI_AKTIF
28.07,1162,6.05,FERMENTASI_AWAL
25.61,1945,4.31,FERMENTASI_AKTIF
26.45,1766,4.81,FERMENTASI_AKTIF
25.81,2329,4.06,FERMENTASI_LANJUT
25.62,2319,3.91,FERMENTASI_LANJUT
27.1,1907,5.3,FERMENTASI_AKTIF
31.35,2237,5.18,FERMENTASI_AKTIF
28.47,1106,5.27,FERMENTASI_AWAL
25.69,1390,4.84,FERMENTASI_AKTIF
28.0,1836,4.45,FERMENTASI_LANJUT
26.33,1666,4.03,FERMENTASI_AKTIF
27.83,699,5.88,FERMENTASI_AWAL
28.72,950,5.54,FERMENTASI_AWAL
26.42,889,3.6,MATANG
27.68,1798,3.75,FERMENTASI_LANJUT
30.53,2177,4.21,FERMENTASI_AKTIF
25.0,1288,4.86,FERMENTASI_AKTIF
26.67,622,5.41,FERMENTASI_AWAL
26.53,1276,4.55,FERMENTASI_AKTIF
25.89,524,6.57,BELUM_FERMENTASI
27.57,1771,3.72,FERMENTASI_LANJUT
28.39,543,6.6,BELUM_FERMENTASI
29.73,1334,4.28,FERMENTASI_AKTIF
25.69,724,6.59,BELUM_FERMENTASI
30.99,746,5.8,FERMENTASI_AWAL
26.06,1748,3.6,MATANG
29.46,1745,4.1,FERMENTASI_LANJUT
29.18,727,6.02,BELUM_FERMENTASI
27.97,1334,4.25,FERMENTASI_AKTIF
26.23,2770,4.2,FERMENTASI_LANJUT
29.12,779,6.13,BELUM_FERMENTASI
29.84,967,5.41,FERMENTASI_AWAL
24.83,1950,3.52,MATANG
26.74,1207,3.6,MATANG
26.37,1735,4.15,FERMENTASI_LANJUT
25.82,484,6.02,BELUM_FERMENTASI
29.38,752,5.58,FERMENTASI_AWAL
26.21,1962,3.82,FERMENTASI_AKTIF
25.7,1923,4.77,FERMENTASI_AKTIF
29.82,2542,3.16,FERMENTASI_LANJUT
31.88,1295,4.28,FERMENTASI_AKTIF
28.63,1664,5.17,FERMENTASI_AKTIF
27.49,1921,4.83,FERMENTASI_AKTIF
30.28,2034,3.46,FERMENTASI_LANJUT
27.47,643,6.22,BELUM_FERMENTASI
31.21,970,4.84,FERMENTASI_AKTIF
25.0,1405,3.79,MATANG
27.16,1005,5.19,FERMENTASI_AWAL
25.7,1105,4.96,FERMENTASI_AWAL
29.73,500,6.68,BELUM_FERMENTASI
28.49,1313,4.13,FERMENTASI_AKTIF
30.03,1100,4.55,FERMENTASI_AKTIF
28.29,464,6.67,BELUM_FERMENTASI
31.31,1017,5.01,FERMENTASI_AKTIF
30.71,1483,3.45,FERMENTASI_LANJUT
26.46,606,6.06,BELUM_FERMENTASI
25.24,2529,3.55,FERMENTASI_LANJUT
29.68,557,6.22,BELUM_FERMENTASI
26.03,504,6.87,BELUM_FERMENTASI
26.06,810,5.16,FERMENTASI_AWAL
28.23,1388,3.85,FERMENTASI_LANJUT
29.9,1160,4.85,FERMENTASI_AKTIF
28.26,868,5.71,FERMENTASI_AWAL
28.8,892,5.36,FERMENTASI_AWAL
25.06,1229,5.89,FERMENTASI_AWAL
25.67,1807,5.09,FERMENTASI_AKTIF
24.48,655,6.32,BELUM_FERMENTASI
26.81,1706,4.91,FERMENTASI_AKTIF
28.55,2178,3.42,MATANG
30.74,1739,4.58,FERMENTASI_AKTIF
27.22,2142,4.17,FERMENTASI_AKTIF
27.38,991,5.04,FERMENTASI_AWAL
30.04,2805,3.39,FERMENTASI_LANJUT
27.79,2334,3.46,FERMENTASI_LANJUT
27.62,1708,3.62,FERMENTASI_LANJUT
28.96,1891,3.55,FERMENTASI_LANJUT
27.35,1981,3.49,FERMENTASI_LANJUT
31.87,1405,4.38,FERMENTASI_AKTIF
25.79,1577,3.71,FERMENTASI_LANJUT
28.61,766,6.64,BELUM_FERMENTASI
25.17,844,5.81,FERMENTASI_AWAL
26.84,1044,5.88,FERMENTASI_AWAL
27.08,1903,4.42,FERMENTASI_AKTIF
29.71,2090,5.03,FERMENTASI_AKTIF
24.78,1794,3.73,FERMENTASI_LANJUT
25.44,450,7.11,BELUM_FERMENTASI
28.97,1115,4.67,FERMENTASI_AKTIF
28.08,1330,6.01,FERMENTASI_AWAL
25.17,400,6.84,BELUM_FERMENTASI
25.41,1668,3.13,MATANG
24.46,1967,4.08,MATANG
30.1,1026,5.31,FERMENTASI_AWAL
28.6,2413,4.13,FERMENTASI_LANJUT
28.52,764,6.83,BELUM_FERMENTASI
30.37,1734,3.86,FERMENTASI_LANJUT
27.3,925,5.8,FERMENTASI_AWAL
28.5,1250,5.57,FERMENTASI_AWAL
27.36,555,6.63,BELUM_FERMENTASI
25.33,539,6.55,BELUM_FERMENTASI
30.89,1836,4.3,FERMENTASI_AKTIF
30.11,1708,4.29,FERMENTASI_AKTIF
26.08,1443,5.13,FERMENTASI_AKTIF
29.5,852,6.19,BELUM_FERMENTASI
29.35,1129,5.31,FERMENTASI_AWAL
26.51,1269,5.47,FERMENTASI_AWAL
26.55,1635,3.51,FERMENTASI_LANJUT
25.81,860,7.05,BELUM_FERMENTASI
27.36,1154,5.81,FERMENTASI_AWAL
30.33,1305,4.15,FERMENTASI_AKTIF
25.84,555,6.53,BELUM_FERMENTASI
30.09,1164,4.12,FERMENTASI_LANJUT
30.64,1070,5.91,FERMENTASI_AWAL
29.31,1920,4.28,FERMENTASI_LANJUT
26.89,947,4.22,FERMENTASI_AKTIF
27.32,1170,6.09,FERMENTASI_AWAL
25.61,663,7.29,BELUM_FERMENTASI
25.69,1475,5.2,FERMENTASI_AKTIF
27.7,1337,5.15,FERMENTASI_AWAL
31.08,1384,4.2,FERMENTASI_AKTIF
25.49,484,6.91,BELUM_FERMENTASI
29.26,821,5.41,FERMENTASI_AWAL
24.9,585,6.86,BELUM_FERMENTASI
26.28,1308,5.41,FERMENTASI_AWAL
24.91,1172,4.64,FERMENTASI_AKTIF
27.85,1337,5.88,FERMENTASI_AWAL
25.97,2435,3.31,FERMENTASI_LANJUT
28.9,1839,4.1,FERMENTASI_AKTIF
26.4,400,7.23,BELUM_FERMENTASI
30.68,455,5.64,FERMENTASI_AWAL
24.16,400,6.67,BELUM_FERMENTASI
25.95,1551,4.41,FERMENTASI_AKTIF
29.19,586,7.3,BELUM_FERMENTASI
27.62,595,6.1,BELUM_FERMENTASI
24.28,497,6.91,BELUM_FERMENTASI
26.58,926,5.97,FERMENTASI_AWAL
27.17,581,6.72,BELUM_FERMENTASI
28.9,963,5.32,FERMENTASI_AWAL
31.5,2230,4.85,FERMENTASI_AKTIF
30.75,2073,4.19,FERMENTASI_AKTIF
28.87,1431,4.7,FERMENTASI_AKTIF
28.4,1872,4.26,FERMENTASI_AKTIF
25.84,2361,3.93,FERMENTASI_LANJUT
29.34,531,5.05,FERMENTASI_AWAL
26.02,2499,3.46,FERMENTASI_LANJUT
27.81,574,6.97,BELUM_FERMENTASI
25.72,1619,5.04,FERMENTASI_AKTIF
27.85,2113,4.36,FERMENTASI_LANJUT
28.73,1618,4.2,FERMENTASI_AKTIF
31.23,1201,4.17,FERMENTASI_AKTIF
29.96,2459,4.18,FERMENTASI_LANJUT
25.67,1229,6.16,FERMENTASI_AWAL
28.82,878,7.19,BELUM_FERMENTASI
27.83,1509,5.09,FERMENTASI_AKTIF
27.86,1496,3.28,MATANG
27.63,1695,4.12,FERMENTASI_AKTIF
25.21,1468,3.33,MATANG
29.92,1622,4.98,FERMENTASI_AKTIF
26.04,958,5.69,FERMENTASI_AWAL
26.76,1220,4.5,FERMENTASI_AKTIF
26.93,842,6.4,BELUM_FERMENTASI
28.55,1779,4.62,FERMENTASI_AKTIF
29.0,1213,4.66,FERMENTASI_AKTIF
28.39,1447,4.47,FERMENTASI_AKTIF
29.46,638,6.19,BELUM_FERMENTASI
29.69,916,5.93,FERMENTASI_AWAL
29.76,1797,3.18,MATANG
29.03,1033,4.51,FERMENTASI_AKTIF
24.21,620,6.24,BELUM_FERMENTASI
28.26,846,5.56,FERMENTASI_AWAL
26.58,732,5.92,FERMENTASI_AWAL
24.19,438,6.82,BELUM_FERMENTASI
28.18,1410,6.15,FERMENTASI_AWAL
28.07,917,4.93,FERMENTASI_AKTIF
27.86,484,7.01,BELUM_FERMENTASI
30.86,892,5.06,FERMENTASI_AKTIF
25.26,632,5.76,FERMENTASI_AWAL
28.93,1120,5.22,FERMENTASI_AWAL
30.69,2138,5.0,FERMENTASI_AKTIF
26.2,2011,5.07,FERMENTASI_AKTIF
26.24,832,4.45,FERMENTASI_AKTIF
28.9,2290,4.32,FERMENTASI_LANJUT
31.7,1106,4.57,FERMENTASI_AKTIF
25.74,1276,4.44,FERMENTASI_AKTIF
27.58,867,7.3,BELUM_FERMENTASI
30.35,1745,4.38,FERMENTASI_AKTIF
29.75,1104,5.95,FERMENTASI_AWAL
27.64,1105,4.86,FERMENTASI_AKTIF
27.6,1592,4.79,FERMENTASI_AKTIF
26.0,908,6.59,BELUM_FERMENTASI
29.78,1077,6.06,FERMENTASI_AWAL
30.74,1903,4.31,FERMENTASI_AKTIF
24.47,803,6.9,BELUM_FERMENTASI
27.86,400,6.41,BELUM_FERMENTASI
26.84,2325,3.38,MATANG
31.26,754,5.08,FERMENTASI_AWAL
25.0,646,6.75,BELUM_FERMENTASI
28.59,2896,4.33,FERMENTASI_LANJUT
26.42,959,5.25,FERMENTASI_AWAL
29.93,864,5.31,FERMENTASI_AWAL
30.08,1631,4.19,FERMENTASI_LANJUT
26.35,454,6.57,BELUM_FERMENTASI
30.09,1297,4.42,FERMENTASI_AKTIF
25.9,681,6.73,BELUM_FERMENTASI
25.36,1370,3.07,MATANG
25.11,1383,5.14,FERMENTASI_AKTIF
25.16,1705,3.98,FERMENTASI_LANJUT
28.94,1802,4.17,FERMENTASI_LANJUT
25.65,1747,4.76,FERMENTASI_AKTIF
30.38,1365,4.74,FERMENTASI_AKTIF
29.21,1504,3.76,FERMENTASI_LANJUT
29.53,835,5.29,FERMENTASI_AWAL
27.6,2746,4.06,FERMENTASI_LANJUT
30.67,950,6.11,FERMENTASI_AWAL
26.34,903,5.74,FERMENTASI_AWAL
26.78,806,6.52,BELUM_FERMENTASI
27.82,1392,3.56,FERMENTASI_LANJUT
26.38,1218,4.46,FERMENTASI_AKTIF
29.18,710,6.23,BELUM_FERMENTASI
30.61,866,5.88,FERMENTASI_AWAL
26.37,2017,5.16,FERMENTASI_AKTIF
25.28,677,6.1,BELUM_FERMENTASI
29.0,437,5.26,FERMENTASI_AWAL
25.7,896,5.39,FERMENTASI_AWAL
26.97,1596,4.21,FERMENTASI_AKTIF
27.01,765,5.0,FERMENTASI_AWAL
26.6,479,6.74,BELUM_FERMENTASI
26.0,1153,5.24,FERMENTASI_AKTIF
24.88,732,6.71,BELUM_FERMENTASI
28.67,1672,4.87,FERMENTASI_AKTIF
29.36,1200,6.21,FERMENTASI_AWAL
26.9,1083,4.64,FERMENTASI_AKTIF
23.68,1888,3.72,MATANG
30.0,975,5.2,FERMENTASI_AWAL
30.9,2168,4.38,FERMENTASI_AKTIF
28.18,1031,5.54,FERMENTASI_AWAL
24.83,892,6.83,BELUM_FERMENTASI
30.4,1973,3.44,FERMENTASI_LANJUT
29.99,1022,4.23,FERMENTASI_AKTIF
26.19,789,6.85,BELUM_FERMENTASI
29.42,2171,4.62,FERMENTASI_AKTIF
30.83,1313,4.66,FERMENTASI_AKTIF
28.04,881,5.7,FERMENTASI_AWAL
26.98,885,5.45,FERMENTASI_AWAL
25.71,764,5.45,FERMENTASI_AWAL
30.42,1544,4.82,FERMENTASI_AKTIF
26.83,1281,3.99,FERMENTASI_LANJUT
26.8,557,5.23,FERMENTASI_AWAL
26.98,703,6.1,BELUM_FERMENTASI
25.85,1512,3.79,FERMENTASI_LANJUT
27.48,1272,6.16,FERMENTASI_AWAL
27.55,831,5.96,FERMENTASI_AWAL
25.53,752,6.44,BELUM_FERMENTASI
30.49,1406,4.37,FERMENTASI_AKTIF
27.58,2612,3.43,FERMENTASI_LANJUT
29.09,496,6.36,BELUM_FERMENTASI
30.44,1269,5.62,FERMENTASI_AWAL
30.41,1633,3.83,FERMENTASI_LANJUT
26.07,1130,6.28,FERMENTASI_AWAL
29.35,1241,3.9,MATANG
25.56,777,6.11,FERMENTASI_AWAL
29.37,1884,5.1,FERMENTASI_AKTIF
24.44,1152,3.35,MATANG
28.19,1902,4.99,FERMENTASI_AKTIF
30.34,1181,5.87,FERMENTASI_AWAL
29.86,852,5.16,FERMENTASI_AWAL
26.95,779,7.16,BELUM_FERMENTASI
24.8,673,6.66,BELUM_FERMENTASI
26.3,769,5.82,FERMENTASI_AWAL
28.23,1799,4.13,FERMENTASI_AKTIF
30.91,1447,4.08,FERMENTASI_LANJUT
27.96,1335,4.84,FERMENTASI_AKTIF
31.14,2242,3.92,FERMENTASI_LANJUT
29.65,1937,4.87,FERMENTASI_AKTIF
26.43,1125,5.88,FERMENTASI_AWAL
25.41,2628,3.82,FERMENTASI_LANJUT
31.17,1800,5.32,FERMENTASI_AKTIF
29.27,1712,3.95,FERMENTASI_AKTIF
26.34,1052,5.64,FERMENTASI_AWAL
25.31,619,7.15,BELUM_FERMENTASI
25.44,1297,3.81,FERMENTASI_LANJUT
28.74,1534,4.56,FERMENTASI_AKTIF
29.93,1097,5.24,FERMENTASI_AWAL
28.82,1183,5.15,FERMENTASI_AWAL
26.98,1120,5.61,FERMENTASI_AWAL
30.6,1321,4.59,FERMENTASI_AKTIF
26.1,647,6.14,FERMENTASI_AWAL
28.68,972,4.51,FERMENTASI_AKTIF
30.35,684,5.77,FERMENTASI_AWAL
24.74,452,7.09,BELUM_FERMENTASI
30.47,1461,5.09,FERMENTASI_AKTIF
25.77,1313,4.7,FERMENTASI_AKTIF
24.8,2111,3.43,MATANG
29.39,890,6.26,BELUM_FERMENTASI
27.83,911,7.17,BELUM_FERMENTASI
27.24,1862,3.81,FERMENTASI_LANJUT
30.41,1197,3.19,MATANG
25.7,856,7.04,BELUM_FERMENTASI
25.1,1655,4.31,FERMENTASI_AKTIF
29.1,937,4.96,FERMENTASI_AKTIF
26.15,1528,5.3,FERMENTASI_AKTIF
24.29,1623,3.09,MATANG
25.62,2177,5.07,FERMENTASI_AKTIF
31.67,1842,3.96,FERMENTASI_AKTIF
25.92,752,6.7,BELUM_FERMENTASI
25.68,717,5.11,FERMENTASI_AWAL
24.34,462,7.24,BELUM_FERMENTASI
31.43,893,4.53,FERMENTASI_AKTIF
27.32,2562,3.91,FERMENTASI_LANJUT
28.98,1847,4.28,MATANG
27.99,1239,3.26,FERMENTASI_LANJUT
28.41,1851,4.87,FERMENTASI_AKTIF
30.32,937,5.81,FERMENTASI_AWAL
26.09,1203,5.51,FERMENTASI_AWAL
26.84,400,6.74,BELUM_FERMENTASI
28.89,1364,3.45,MATANG
28.73,729,5.16,FERMENTASI_AWAL
31.62,1893,4.3,FERMENTASI_AKTIF
25.08,2057,4.57,FERMENTASI_AKTIF
26.52,1419,3.37,MATANG
29.11,1792,4.94,FERMENTASI_AKTIF
29.25,1655,3.89,FERMENTASI_LANJUT
31.02,968,4.33,FERMENTASI_AKTIF
25.53,1867,3.72,FERMENTASI_LANJUT
25.02,492,7.28,BELUM_FERMENTASI
26.87,1322,5.3,FERMENTASI_AWAL
28.75,520,6.24,BELUM_FERMENTASI
29.55,2172,4.62,FERMENTASI_AKTIF
30.27,622,6.93,BELUM_FERMENTASI
29.37,1779,4.21,FERMENTASI_AKTIF
29.16,1415,3.82,FERMENTASI_LANJUT
30.27,1456,4.82,FERMENTASI_AKTIF
27.56,1101,5.62,FERMENTASI_AWAL
30.06,1046,4.79,FERMENTASI_AKTIF
26.37,1427,4.54,FERMENTASI_AKTIF
29.11,2248,3.1,MATANG
28.57,2135,3.53,MATANG
29.35,1005,3.32,MATANG
29.7,993,4.83,FERMENTASI_AKTIF
29.99,1747,3.53,MATANG
26.92,1776,4.43,FERMENTASI_AKTIF
23.96,767,6.74,BELUM_FERMENTASI
25.62,1485,4.62,FERMENTASI_AKTIF
25.32,904,6.46,BELUM_FERMENTASI
27.63,1782,3.59,FERMENTASI_LANJUT
30.73,1048,4.53,FERMENTASI_AKTIF
26.6,2075,3.77,FERMENTASI_LANJUT
29.06,545,7.17,BELUM_FERMENTASI
27.58,770,6.83,BELUM_FERMENTASI
29.57,1174,3.9,MATANG
25.52,473,6.51,BELUM_FERMENTASI
30.63,1316,5.62,FERMENTASI_AWAL
30.91,1890,5.01,FERMENTASI_AKTIF
26.67,585,6.24,BELUM_FERMENTASI
26.06,1943,4.89,FERMENTASI_AKTIF
25.43,2026,3.24,FERMENTASI_LANJUT
28.04,1655,4.83,FERMENTASI_AKTIF
29.04,1141,5.04,FERMENTASI_AWAL
27.84,672,6.05,BELUM_FERMENTASI
27.65,957,5.35,FERMENTASI_AWAL
30.51,1065,5.75,FERMENTASI_AWAL
28.8,2561,3.95,FERMENTASI_LANJUT
29.49,689,7.08,BELUM_FERMENTASI
27.89,827,4.96,FERMENTASI_AWAL
26.67,1308,3.79,FERMENTASI_LANJUT
28.49,1030,5.73,FERMENTASI_AWAL
24.66,437,7.04,BELUM_FERMENTASI
25.78,1407,3.91,FERMENTASI_LANJUT
27.39,1440,3.71,FERMENTASI_LANJUT
31.28,1368,5.06,FERMENTASI_AKTIF
30.67,1181,5.27,FERMENTASI_AWAL
29.7,907,6.06,BELUM_FERMENTASI
29.29,2369,3.96,FERMENTASI_LANJUT
30.32,882,5.19,FERMENTASI_AWAL
24.72,400,6.24,BELUM_FERMENTASI
25.51,924,5.65,FERMENTASI_AWAL
24.79,1233,5.96,FERMENTASI_AWAL
27.36,2706,4.28,FERMENTASI_LANJUT
28.81,1859,4.2,FERMENTASI_AKTIF
27.67,1026,5.89,FERMENTASI_AWAL
29.38,799,6.85,BELUM_FERMENTASI
26.67,1519,3.8,FERMENTASI_LANJUT
29.76,585,6.72,BELUM_FERMENTASI
26.31,1242,4.41,FERMENTASI_AKTIF
28.88,2316,3.36,MATANG
26.62,698,6.0,BELUM_FERMENTASI
28.02,2103,3.67,MATANG
26.05,796,5.77,FERMENTASI_AWAL
27.08,1403,4.28,FERMENTASI_AKTIF
25.16,463,7.03,BELUM_FERMENTASI
29.69,1215,5.82,FERMENTASI_AWAL
25.81,847,6.17,FERMENTASI_AWAL
29.46,1297,4.26,FERMENTASI_AKTIF
29.2,1438,4.05,FERMENTASI_AKTIF
26.69,915,5.92,FERMENTASI_AWAL
29.78,759,5.1,FERMENTASI_AWAL
25.85,1569,3.61,FERMENTASI_LANJUT
30.99,1358,4.04,FERMENTASI_AKTIF
27.8,2143,4.08,FERMENTASI_LANJUT
28.08,1397,5.6,FERMENTASI_AWAL
25.09,580,6.7,BELUM_FERMENTASI
26.09,2117,4.27,FERMENTASI_AKTIF
25.23,1457,4.84,FERMENTASI_AKTIF
30.02,796,5.09,FERMENTASI_AWAL
27.63,535,6.63,BELUM_FERMENTASI
28.54,544,7.18,BELUM_FERMENTASI
24.93,580,6.63,BELUM_FERMENTASI
30.41,1866,5.04,FERMENTASI_AKTIF
27.19,1215,6.01,FERMENTASI_AWAL
26.69,408,6.68,BELUM_FERMENTASI
24.77,731,6.77,BELUM_FERMENTASI
26.56,1054,5.32,FERMENTASI_AWAL
29.91,679,6.18,BELUM_FERMENTASI
29.33,872,5.71,FERMENTASI_AWAL
27.57,2027,5.02,FERMENTASI_AKTIF
26.47,2048,4.17,FERMENTASI_AKTIF
29.13,1217,3.69,MATANG
26.4,1139,5.76,FERMENTASI_AWAL
28.37,1776,5.18,FERMENTASI_AKTIF
29.79,1550,4.16,FERMENTASI_LANJUT
29.54,1858,3.48,MATANG
28.84,1033,5.31,FERMENTASI_AWAL
29.0,1318,4.51,FERMENTASI_AKTIF
27.72,818,6.55,BELUM_FERMENTASI
29.18,1039,5.51,FERMENTASI_AWAL
29.47,2244,4.01,FERMENTASI_LANJUT
28.85,512,5.7,FERMENTASI_AWAL
30.82,1006,6.04,FERMENTASI_AWAL
27.67,1367,3.26,MATANG
27.07,549,5.98,FERMENTASI_AWAL
26.8,2078,4.74,FERMENTASI_AKTIF
27.73,1529,4.52,FERMENTASI_AKTIF
27.88,757,6.71,BELUM_FERMENTASI
26.41,1452,4.64,FERMENTASI_AKTIF
31.44,1821,4.09,FERMENTASI_AKTIF
27.24,1562,4.45,FERMENTASI_AKTIF
27.25,784,6.87,BELUM_FERMENTASI
25.89,400,6.79,BELUM_FERMENTASI
24.99,662,6.53,BELUM_FERMENTASI
30.33,703,5.69,FERMENTASI_AWAL
26.38,934,5.75,FERMENTASI_AWAL
28.18,1349,4.13,FERMENTASI_AKTIF
29.41,506,6.07,BELUM_FERMENTASI
24.96,1942,3.43,FERMENTASI_LANJUT
29.6,2388,3.86,FERMENTASI_LANJUT
25.95,2615,3.95,FERMENTASI_LANJUT
24.5,1306,4.1,FERMENTASI_LANJUT
29.97,2680,3.72,FERMENTASI_LANJUT
25.32,1088,4.95,FERMENTASI_AKTIF
29.4,520,6.1,BELUM_FERMENTASI
28.4,1512,3.36,FERMENTASI_LANJUT
24.85,1440,2.91,MATANG
29.39,2218,4.46,FERMENTASI_AKTIF
27.79,1211,4.55,FERMENTASI_AKTIF
29.22,1557,4.3,FERMENTASI_AKTIF
24.4,1034,4.03,FERMENTASI_AKTIF
26.74,2197,3.53,FERMENTASI_LANJUT
26.98,1021,6.19,FERMENTASI_AWAL
28.01,861,6.79,BELUM_FERMENTASI
29.18,441,6.59,BELUM_FERMENTASI
28.93,504,6.13,BELUM_FERMENTASI
28.92,1852,5.3,FERMENTASI_AKTIF
30.65,750,5.61,FERMENTASI_AWAL
28.74,1439,3.83,FERMENTASI_LANJUT
30.09,400,6.97,BELUM_FERMENTASI
29.13,824,5.5,FERMENTASI_AWAL
27.52,532,6.6,BELUM_FERMENTASI
29.26,811,5.98,FERMENTASI_AWAL
25.86,1209,5.97,FERMENTASI_AWAL
25.14,732,6.99,BELUM_FERMENTASI
26.24,1026,6.14,FERMENTASI_AWAL
30.43,1455,4.68,FERMENTASI_AKTIF
27.4,400,5.89,BELUM_FERMENTASI
25.41,605,6.16,BELUM_FERMENTASI
28.13,1760,4.17,FERMENTASI_LANJUT
26.23,558,6.51,BELUM_FERMENTASI
26.22,843,6.13,BELUM_FERMENTASI
26.67,1295,4.77,FERMENTASI_AKTIF
26.13,615,6.07,BELUM_FERMENTASI
25.79,623,6.79,BELUM_FERMENTASI
30.76,2181,4.33,FERMENTASI_LANJUT
30.8,1733,4.82,FERMENTASI_AKTIF
27.51,1037,5.62,FERMENTASI_AWAL
26.95,2520,3.72,FERMENTASI_LANJUT
29.51,1914,4.23,FERMENTASI_LANJUT
31.55,1817,4.2,FERMENTASI_LANJUT
29.45,812,5.41,FERMENTASI_AWAL
27.15,646,7.1,BELUM_FERMENTASI
29.45,904,5.55,FERMENTASI_AWAL
27.65,1317,3.92,FERMENTASI_LANJUT
28.86,728,5.8,FERMENTASI_AWAL
26.63,1977,2.87,MATANG
27.48,701,5.36,FERMENTASI_AWAL
25.43,2010,4.11,FERMENTASI_AKTIF
27.93,1315,4.58,FERMENTASI_AKTIF
27.09,1812,4.67,FERMENTASI_AKTIF
28.73,693,6.91,BELUM_FERMENTASI
29.55,2115,4.57,FERMENTASI_AKTIF
29.87,480,6.54,BELUM_FERMENTASI
28.92,692,5.45,FERMENTASI_AWAL
27.08,585,5.89,BELUM_FERMENTASI
26.18,991,5.08,FERMENTASI_AKTIF
25.12,874,6.81,BELUM_FERMENTASI
28.8,1606,4.54,FERMENTASI_AKTIF
26.34,1550,4.86,FERMENTASI_AKTIF
30.17,634,5.09,FERMENTASI_AWAL
31.34,2299,4.17,FERMENTASI_LANJUT
29.94,487,6.36,BELUM_FERMENTASI
28.47,608,6.7,BELUM_FERMENTASI
27.9,558,6.56,BELUM_FERMENTASI
28.29,644,5.89,BELUM_FERMENTASI
27.65,400,6.88,BELUM_FERMENTASI
27.39,1078,4.97,FERMENTASI_AWAL
27.23,473,6.04,BELUM_FERMENTASI
30.59,2272,3.28,FERMENTASI_LANJUT
26.44,2274,3.72,FERMENTASI_LANJUT
28.4,604,6.4,BELUM_FERMENTASI
30.15,506,6.56,BELUM_FERMENTASI
26.56,974,5.09,FERMENTASI_AWAL
28.95,736,5.75,FERMENTASI_AWAL
28.96,733,6.79,BELUM_FERMENTASI
29.71,615,6.77,BELUM_FERMENTASI
25.41,1705,4.0,MATANG
29.92,1333,4.35,FERMENTASI_LANJUT
28.88,759,5.12,FERMENTASI_AWAL
30.24,2515,4.24,FERMENTASI_LANJUT
30.94,1257,4.02,FERMENTASI_AKTIF
29.02,976,6.5,BELUM_FERMENTASI
26.89,603,6.42,BELUM_FERMENTASI
28.29,995,6.15,FERMENTASI_AWAL
26.91,1842,4.47,FERMENTASI_LANJUT
26.62,818,5.51,FERMENTASI_AWAL
27.24,1922,4.74,FERMENTASI_AKTIF
26.95,989,6.16,BELUM_FERMENTASI
28.42,1848,3.78,MATANG
25.44,941,5.1,FERMENTASI_AWAL
27.43,976,4.08,FERMENTASI_AKTIF
28.29,400,6.23,BELUM_FERMENTASI
26.38,1113,5.57,FERMENTASI_AWAL
27.67,487,6.1,BELUM_FERMENTASI
30.61,2764,3.84,FERMENTASI_LANJUT
25.67,2168,4.93,FERMENTASI_AKTIF
25.74,1639,4.75,FERMENTASI_AKTIF
30.03,1464,3.47,FERMENTASI_LANJUT
27.48,1496,3.88,FERMENTASI_LANJUT
28.11,1916,3.58,FERMENTASI_LANJUT
30.76,580,5.48,FERMENTASI_AWAL
31.7,1444,4.43,FERMENTASI_AKTIF
25.08,478,6.14,BELUM_FERMENTASI
30.27,400,6.97,BELUM_FERMENTASI
30.7,1620,3.81,FERMENTASI_LANJUT
24.64,916,6.07,BELUM_FERMENTASI
26.67,1566,5.23,FERMENTASI_AKTIF
25.34,682,6.71,BELUM_FERMENTASI
27.87,1812,3.73,FERMENTASI_LANJUT
25.37,1073,5.41,FERMENTASI_AWAL
28.61,906,6.48,BELUM_FERMENTASI
24.94,1337,4.82,FERMENTASI_AKTIF
29.41,1374,3.29,MATANG
25.74,688,6.38,BELUM_FERMENTASI
25.23,768,6.58,BELUM_FERMENTASI
31.01,1493,5.13,FERMENTASI_AKTIF
27.38,2383,4.15,FERMENTASI_LANJUT
29.81,930,5.5,FERMENTASI_AWAL
28.97,804,6.1,FERMENTASI_AWAL
28.14,2000,3.59,FERMENTASI_LANJUT
27.86,2545,3.98,FERMENTASI_LANJUT
25.52,677,6.97,BELUM_FERMENTASI
27.27,2134,4.24,FERMENTASI_AKTIF
26.01,1413,5.0,FERMENTASI_AKTIF
26.69,1863,4.35,FERMENTASI_AKTIF
30.23,1064,4.5,FERMENTASI_AKTIF
25.48,555,7.09,BELUM_FERMENTASI
28.38,1802,4.48,FERMENTASI_AKTIF
26.87,1229,5.77,FERMENTASI_AWAL
27.99,1296,3.72,MATANG
30.7,1974,5.19,FERMENTASI_AKTIF
26.74,1298,5.65,FERMENTASI_AWAL
27.57,1514,3.58,MATANG
